,Correlation,p-value,L1 Loss
14c9c383f274c66db1d76b7a992ccdd3,0.514,0.0,0.73
a35d8f07c834ac1463aab25592293c89,0.444,0.0,1.01
bc5368ed7b061b6706680e7f1744f340,0.487,0.0,0.91
a4d19cc8aa95e03a10f5af088d19b4c1,0.51,0.0,0.81
2bc4b186d7335658dca9090f11793b2f,0.267,0.007,0.89
de6982d369c8cadd09841f06668cd9b9,0.527,0.0,0.85
66d32587da8d5c5015c5b1d40e864129,0.676,0.0,0.79
2df74d6695cbbf0f50df37cba214261c,0.409,0.0,1.32
06f6a77f628988f31967b6a1a7ba4ca8,0.252,0.011,1.17
90ee49ceb0ab25e8cec36476dd141fae,0.136,0.178,0.95
fa988db68db5e7fb4fb30f6a5d6aa421,0.437,0.0,0.9
d4fd69e07969397ee392ac738e0129f8,0.681,0.0,0.76
2c10acc10ffff572aa1657a71972ad16,0.326,0.001,1.02
5f511f39aaa42be42ed036f3f12f38f6,0.528,0.0,0.78
9a163d6ec65068aab6c1fae4d8e24e4a,0.428,0.0,1.03
f72aa0c0cf3a18ea8ae9c620ec7f02b6,0.487,0.0,0.97
fb741cf11b677ce8207335474df5896c,0.289,0.004,1.18
fc961871a639ea2b0034f0463cd413ce,0.456,0.0,0.98
57fe89bfcebbb75fef02aeec43a35a94,0.454,0.0,0.88
276d6a094a502267bf268e442c774554,0.31,0.002,0.98
1d66391055a50f772cf657fafd447874,0.508,0.0,0.61
1eaa9bbb6885898e2da9e175da3d1dd2,0.416,0.0,0.96
